segment,Less than 10% chance of being real,Less than 20% chance of being real,Less than 30% chance of being real,Less than 40% chance of being real,Less than 50% chance of being real,Over 50% chance of being real
0.25,779,426,356,339,390,12136
0.5,680,220,165,165,168,13028
1.0,507,120,77,84,80,13558
