year_range,Less than 10% chance of being real,Less than 20% chance of being real,Less than 30% chance of being real,Less than 40% chance of being real,Less than 50% chance of being real,Over 50% chance of being real
1980-1984,64,12,15,11,7,1491
1985-1989,79,18,9,17,10,1467
1990-1994,80,18,11,13,11,1467
1995-1999,74,23,18,10,14,1461
2000-2004,82,17,11,6,10,1474
2005-2009,58,14,6,14,12,1496
2010-2014,36,11,1,5,7,1540
2015-2019,22,4,3,6,5,1560
2020-2023,12,1,3,2,4,1578
