segment,Less than 10% chance of being real,Less than 20% chance of being real,Less than 30% chance of being real,Less than 40% chance of being real,Less than 50% chance of being real,Over 50% chance of being real
0.25,1032,567,477,462,488,15653
0.5,915,284,212,192,224,16852
1.0,685,157,98,108,100,17531
