year_range,Less than 10% chance of being real,Less than 20% chance of being real,Less than 30% chance of being real,Less than 40% chance of being real,Less than 50% chance of being real,Over 50% chance of being real
1980-1984,58,13,13,10,8,1498
1985-1989,79,20,6,12,10,1473
1990-1994,89,14,9,8,10,1470
1995-1999,79,16,17,12,10,1466
2000-2004,81,18,14,6,9,1472
2005-2009,55,13,3,12,11,1506
2010-2014,36,10,1,5,6,1542
2015-2019,23,4,4,7,5,1557
2020-2023,11,1,4,2,4,1578
